#;ISO;EN_country;Sco15;Diff sco14;Diff;Abuses score;Underlying situation score;Situation;EN_zone;ES_country;FR_Country;FR_zone;ES_zone;;;;;;
56;PNG;Papua New Guinea;25,87;-2,41;"-12 (44 ; 23,46)";16,09;25,87;Noticeable problems;Asia-Pacific;Papúa Nueva Guinea;Papouasie-Nouvelle-Guinée;Asie-Pacifique;Asia y el Pacífico;;;;;;
57;ARG;Argentina;26,11;-0,84;"-2 (55 ; 25,27)";47,96;20,64;Noticeable problems;Americas;Argentina;Argentine;Amériques;Amériques;;;;;;
58;HRV;Croatia;26,12;0,7;"+7 (65 ; 26,82)";24,85;26,12;Noticeable problems;European Union & the Balkans;Croacia;Croatie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
59;MWI;Malawi;26,41;1,88;"+14 (73 ; 28,29)";;26,41;Noticeable problems;Africa;Malaui;Malawi;Afrique;África;;;;;;
60;KOR;Republic of Korea;26,55;-0,89;"-3 (57 ; 25,66)";16,09;26,55;Noticeable problems;Asia-Pacific;Corea del Sur;Corée du Sud;Asie-Pacifique;Asia y el Pacífico;;;;;;
61;JPN;Japan;26,95;-0,93;"-2 (59 ; 26,02)";;26,95;Noticeable problems;Asia-Pacific;Japón;Japon;Asie-Pacifique;Asia y el Pacífico;;;;;;
62;GUY;Guyana;27,21;-0,13;"+5 (67 ; 27,08)";;27,21;Noticeable problems;Americas;Guyana;Guyana;Amériques;Amériques;;;;;;
63;DOM;Dominican Republic;27,31;-0,14;"+5 (68 ; 27,17)";28,33;27,05;Noticeable problems;Americas;República Dominicana;République dominicaine;Amériques;Amériques;;;;;;
64;MDG;Madagascar;27,43;1,95;"+17 (81 ; 29,38)";13,86;27,43;Noticeable problems;Africa;Madagascar;Madagascar;Afrique;África;;;;;;
65;HUN;Hungary;27,44;-0,71;"-1 (64 ; 26,73)";13,86;27,44;Noticeable problems;European Union & the Balkans;Hungría;Hongrie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
